iter	Passed	Remaining
855	3188	536
856	3190	532
857	3190	528
858	3191	523
859	3192	519
860	3196	516
861	3200	512
862	3201	508
863	3202	504
864	3219	502
865	3227	499
866	3234	496
867	3237	492
868	3239	488
869	3240	484
870	3241	480
871	3244	476
872	3246	472
873	3255	469
874	3262	466
875	3264	462
876	3265	458
877	3266	453
878	3267	449
879	3268	445
880	3269	441
881	3269	437
882	3270	433
883	3271	429
884	3297	428
885	3304	425
886	3306	421
887	3307	417
888	3308	413
889	3309	409
890	3310	404
891	3322	402
892	3331	399
893	3332	395
894	3333	391
895	3348	388
896	3356	385
897	3357	381
898	3359	377
899	3360	373
900	3361	369
901	3377	366
902	3382	363
903	3386	359
904	3392	356
905	3397	352
906	3399	348
907	3399	344
908	3400	340
909	3401	336
910	3402	332
911	3403	328
912	3404	324
913	3404	320
914	3430	318
915	3431	314
916	3433	310
917	3441	307
918	3443	303
919	3444	299
920	3445	295
921	3446	291
922	3447	287
923	3448	283
924	3457	280
925	3463	276
926	3465	272
927	3466	268
928	3467	264
929	3468	261
930	3469	257
931	3470	253
932	3476	249
933	3480	245
934	3482	242
935	3482	238
936	3486	234
937	3487	230
938	3490	226
939	3492	222
940	3493	219
941	3494	215
942	3495	211
943	3496	207
944	3496	203
945	3497	199
946	3498	195
947	3499	191
948	3500	188
949	3501	184
950	3501	180
951	3502	176
952	3536	174
953	3540	170
954	3545	167
955	3552	163
956	3555	159
957	3556	155
958	3557	152
959	3558	148
960	3560	144
961	3562	140
962	3567	137
963	3571	133
964	3574	129
965	3583	126
966	3585	122
967	3587	118
968	3590	114
969	3593	111
970	3594	107
971	3595	103
972	3595	99
973	3596	96
974	3602	92
975	3603	88
976	3604	84
977	3606	81
978	3615	77
979	3617	73
980	3618	70
981	3619	66
982	3620	62
983	3621	58
984	3622	55
985	3623	51
986	3623	47
987	3626	44
988	3628	40
989	3629	36
990	3630	32
991	3631	29
992	3632	25
993	3648	22
994	3652	18
995	3653	14
996	3654	10
997	3655	7
998	3656	3
999	3658	0
